Date/Time,0_0:Zone Mean Radiant Temperature [C](Monthly),1_0:Zone Mean Radiant Temperature [C](Monthly),2_0:Zone Mean Radiant Temperature [C](Monthly),3_0:Zone Mean Radiant Temperature [C](Monthly),4_0:Zone Mean Radiant Temperature [C](Monthly),5_0:Zone Mean Radiant Temperature [C](Monthly),6_0:Zone Mean Radiant Temperature [C](Monthly),7_0:Zone Mean Radiant Temperature [C](Monthly),8_0:Zone Mean Radiant Temperature [C](Monthly),9_0:Zone Mean Radiant Temperature [C](Monthly),10_0:Zone Mean Radiant Temperature [C](Monthly),11_0:Zone Mean Radiant Temperature [C](Monthly),12_0:Zone Mean Radiant Temperature [C](Monthly),13_0:Zone Mean Radiant Temperature [C](Monthly),14_0:Zone Mean Radiant Temperature [C](Monthly),15_0:Zone Mean Radiant Temperature [C](Monthly),16_0:Zone Mean Radiant Temperature [C](Monthly),17_0:Zone Mean Radiant Temperature [C](Monthly),18_0:Zone Mean Radiant Temperature [C](Monthly),19_0:Zone Mean Radiant Temperature [C](Monthly),20_0:Zone Mean Radiant Temperature [C](Monthly),0_0:Zone Mean Air Temperature [C](Monthly),1_0:Zone Mean Air Temperature [C](Monthly),2_0:Zone Mean Air Temperature [C](Monthly),3_0:Zone Mean Air Temperature [C](Monthly),4_0:Zone Mean Air Temperature [C](Monthly),5_0:Zone Mean Air Temperature [C](Monthly),6_0:Zone Mean Air Temperature [C](Monthly),7_0:Zone Mean Air Temperature [C](Monthly),8_0:Zone Mean Air Temperature [C](Monthly),9_0:Zone Mean Air Temperature [C](Monthly),10_0:Zone Mean Air Temperature [C](Monthly),11_0:Zone Mean Air Temperature [C](Monthly),12_0:Zone Mean Air Temperature [C](Monthly),13_0:Zone Mean Air Temperature [C](Monthly),14_0:Zone Mean Air Temperature [C](Monthly),15_0:Zone Mean Air Temperature [C](Monthly),16_0:Zone Mean Air Temperature [C](Monthly),17_0:Zone Mean Air Temperature [C](Monthly),18_0:Zone Mean Air Temperature [C](Monthly),19_0:Zone Mean Air Temperature [C](Monthly),20_0:Zone Mean Air Temperature [C](Monthly),Heating:EnergyTransfer [J](Monthly),Heating:EnergyTransfer:Zone:0_0 [J](Monthly),Heating:EnergyTransfer:Zone:1_0 [J](Monthly),Heating:EnergyTransfer:Zone:2_0 [J](Monthly),Heating:EnergyTransfer:Zone:3_0 [J](Monthly),Heating:EnergyTransfer:Zone:4_0 [J](Monthly),Heating:EnergyTransfer:Zone:5_0 [J](Monthly),Heating:EnergyTransfer:Zone:6_0 [J](Monthly),Heating:EnergyTransfer:Zone:7_0 [J](Monthly),Heating:EnergyTransfer:Zone:8_0 [J](Monthly),Heating:EnergyTransfer:Zone:9_0 [J](Monthly),Heating:EnergyTransfer:Zone:10_0 [J](Monthly),Heating:EnergyTransfer:Zone:11_0 [J](Monthly),Heating:EnergyTransfer:Zone:12_0 [J](Monthly),Heating:EnergyTransfer:Zone:13_0 [J](Monthly),Heating:EnergyTransfer:Zone:14_0 [J](Monthly),Heating:EnergyTransfer:Zone:15_0 [J](Monthly),Heating:EnergyTransfer:Zone:16_0 [J](Monthly),Heating:EnergyTransfer:Zone:17_0 [J](Monthly),Heating:EnergyTransfer:Zone:18_0 [J](Monthly),Heating:EnergyTransfer:Zone:19_0 [J](Monthly),Heating:EnergyTransfer:Zone:20_0 [J](Monthly),Heating:DistrictHeating [J](Monthly),Cooling:EnergyTransfer [J](Monthly),Cooling:EnergyTransfer:Zone:0_0 [J](Monthly),Cooling:EnergyTransfer:Zone:1_0 [J](Monthly),Cooling:EnergyTransfer:Zone:2_0 [J](Monthly),Cooling:EnergyTransfer:Zone:3_0 [J](Monthly),Cooling:EnergyTransfer:Zone:4_0 [J](Monthly),Cooling:EnergyTransfer:Zone:5_0 [J](Monthly),Cooling:EnergyTransfer:Zone:6_0 [J](Monthly),Cooling:EnergyTransfer:Zone:7_0 [J](Monthly),Cooling:EnergyTransfer:Zone:8_0 [J](Monthly),Cooling:EnergyTransfer:Zone:9_0 [J](Monthly),Cooling:EnergyTransfer:Zone:10_0 [J](Monthly),Cooling:EnergyTransfer:Zone:11_0 [J](Monthly),Cooling:EnergyTransfer:Zone:12_0 [J](Monthly),Cooling:EnergyTransfer:Zone:13_0 [J](Monthly),Cooling:EnergyTransfer:Zone:14_0 [J](Monthly),Cooling:EnergyTransfer:Zone:15_0 [J](Monthly),Cooling:EnergyTransfer:Zone:16_0 [J](Monthly),Cooling:EnergyTransfer:Zone:17_0 [J](Monthly),Cooling:EnergyTransfer:Zone:18_0 [J](Monthly),Cooling:EnergyTransfer:Zone:19_0 [J](Monthly),Cooling:EnergyTransfer:Zone:20_0 [J](Monthly),Cooling:DistrictCooling [J](Monthly) 
January,14.2408021516494,17.8556697045711,15.7722895567652,15.0471227394525,15.135256487723,16.9323240801733,18.2049417696848,15.8126335555124,15.1049895712365,15.1779294827479,17.0471259701022,18.2753008280755,15.8250636640021,15.1088957437774,15.1734706276376,17.0561940186783,17.0028767483291,15.2552913638834,14.6257112250564,14.6747547995289,16.3893974263929,18.6563022135487,19.1312281292233,18.7892130995712,18.6602037081485,18.6635516064703,18.9188804124131,19.4188273978884,18.7544223024307,18.6671817405718,18.6706835826602,18.9853678879642,19.6129019623778,18.7669291592612,18.669460240868,18.6725360016685,18.9951497948104,19.052731447401,18.7116784524942,18.6584761102107,18.6600312845116,18.8434585915253,35958521110.9191,2933957021.22797,331036703.345752,1195823155.30175,1507503132.29113,1466568550.4726,650615254.636391,398915763.111435,1506068544.12645,1925974188.66936,1879330595.50213,796638822.728009,580791718.213434,1846419484.14036,2364391050.47128,2315846319.14385,964483246.401057,2166039966.68648,2762704192.4252,3369833494.49783,3321047754.57112,1674532152.95559,36055608264.4385,15497495.2703957,0.0,0.0,11529215.304053,0.0,0.0,0.0,0.0,1126027.66690999,0.0,0.0,0.0,0.0,2151896.29776155,0.0,0.0,0.0,0.0,690356.001671112,0.0,0.0,0.0,15489974.3234973 
February,14.2453519722466,17.8462758081082,15.9316060627395,14.9077024076075,15.058735613877,17.0331388334241,18.177292256456,15.9560673997579,14.9508319274544,15.0876470804694,17.1254185393657,18.2028996862048,15.9608500363109,14.9403704138423,15.0700125270117,17.1005047216603,16.8050356685873,15.2985746781328,14.4042005018323,14.5115747561492,16.3365552673552,18.5953976583951,19.0773058162813,18.7992047562515,18.591877331322,18.5979099197062,18.9030954135763,19.3544638526062,18.7264064656341,18.5966953691415,18.6025924330474,18.9671160109545,19.5087679745696,18.7378772120015,18.5979909035429,18.6034544487054,18.961945036,18.9145773752752,18.6602016327127,18.5883626023619,18.5915853895116,18.7750516993303,33244043889.5824,2639788564.14182,294476359.344372,1027524474.71714,1414959718.65405,1350374592.62832,559401026.214861,372453253.807299,1292941566.44708,1819380443.72384,1741293416.42807,695928811.638039,565796246.263131,1591116939.08153,2247084253.89952,2157780797.22241,856514933.186439,2225447706.60147,2461987972.09199,3238237989.91631,3141503927.94257,1550050895.63209,33331306043.4933,11641237.5216011,0.0,0.0,10004519.4014343,0.0,0.0,0.0,0.0,453523.445193329,0.0,0.0,0.0,0.0,1092355.12228989,0.0,0.0,0.0,0.0,90839.5526835335,0.0,0.0,0.0,11636449.5221253 
March,16.3378573523316,18.8534649015218,17.5920051005096,16.6072988301565,17.0140729217368,18.2997854498001,19.3010626311415,17.7110061160386,16.6774328188728,17.0843121861915,18.4397969596798,19.3583393748875,17.7351620827808,16.6715643791733,17.0833791544463,18.4128847293145,18.0368818165661,17.0591649068783,16.1291360296921,16.4818027125906,17.6081617299635,18.9058901742937,19.7304775041746,19.2887553567124,18.8630097650067,19.0085640394969,19.5431109617038,20.2878745606542,19.324177533783,18.8872917058417,19.0306416782575,19.6756358116615,20.5140608590834,19.3538301560912,18.8967023258306,19.044878696588,19.6753310634536,19.6576558559555,19.1413518009387,18.8022336408869,18.9052524359531,19.2640375814936,17287513116.493,1385758260.42002,166315837.017406,560621392.69316,784545064.535908,676267774.143076,290100026.551095,190384393.046202,659321410.099312,971155994.930061,829750274.984454,337950573.940923,289047513.168431,801944928.899193,1187497561.99121,1014357710.43891,408918305.125466,1072320659.41995,1335260100.06755,1847249651.4042,1631407837.35785,847337846.258612,17368845262.3871,210815043.221123,1994602.43232008,0.0,43444246.6434038,150380.762873841,8577403.245192,33406.2484687286,6666893.96683903,26341048.7333702,0.0,4406184.42786692,183325.662667272,31696344.8624474,40637714.1417708,0.0,6473684.45149498,320643.718583709,10893838.1400286,24479237.2360541,0.0,4516088.54774176,0.0,228410253.267793 
April,18.8815184768344,20.4812797119869,19.754258936564,18.9101381104885,19.3613105147575,20.0278314665794,20.8658166238666,19.9239023932358,19.0086095685976,19.493169034719,20.177553866808,20.8143538878871,19.9105512662566,18.9523676530046,19.4504181213289,20.0878425943124,19.5187782498947,19.1338616989512,18.2536111951929,18.7041395567624,19.1678302104394,20.0763337800607,21.0329042448703,20.4899562011712,19.9596798503963,20.235484984808,20.8247669711031,21.5526176455689,20.6149489080058,20.0577201416136,20.3715417230447,20.9905335873113,21.6545784369741,20.6155721242714,20.0378657394301,20.3583619627532,20.9483317222953,20.7648018345377,20.1875935485779,19.6796797461114,19.9576150613699,20.2953577897778,6896509575.89461,571056865.657177,73587322.7660801,238197331.073313,298548579.81333,269498125.627945,128963918.968958,81339034.9464253,271623875.20685,349204383.638121,308418855.224166,140880632.020868,119803361.010692,325657901.40307,422653373.412962,372565296.746001,168376215.67596,465640973.888043,559652446.058543,720285484.400359,644809255.4085,365746342.947246,6941567768.26359,2297895019.52285,138103318.323913,26185086.8170388,122021742.386724,50484733.5114417,97348413.895501,31083138.5863512,119372753.262179,153831198.271454,63773011.6830643,106014189.871371,46610498.0762637,270278021.624771,202494254.234001,79033478.6355714,133741371.7769,53977386.0484023,214756920.398609,179262752.494765,65921619.4005325,119751339.222066,23849791.0019286,2547523216.97838 
May,22.3687829981734,22.917722082496,22.6406893201621,22.2758515951467,22.6853290476023,22.6689902179542,23.1508466240091,22.8365703290851,22.4053905777483,22.8704019339422,22.7989419834636,23.0013222252341,22.804271172904,22.3199262387936,22.8083987614594,22.6704268173275,21.9328470224729,22.1200578862703,21.6219086731186,22.0939528627066,21.8372548621273,22.2096724907467,23.0689093475319,22.4230742887244,22.225835927462,22.4592444317047,23.0058398207959,23.4150369969815,22.6274113791873,22.4194076435005,22.7264082209989,23.1785812819836,23.396164536526,22.6208423812539,22.3967941715695,22.7127717365569,23.1190716011046,22.7332513164447,22.203794862738,21.9467867759885,22.2611755434693,22.4779577131591,660917956.739401,49727232.383059,11315666.2223719,21082081.3580577,24609615.8413994,27749314.3577128,13781603.9919378,10759099.9137367,20425528.5996982,25664493.4970095,26552821.6259493,12283537.8419721,16810297.5575272,23932301.1820285,30952392.9873449,32318851.9335901,14757995.3588051,72282726.7028391,50425055.2758084,65522518.6887543,70278766.617863,39686054.8019363,670986026.235303,8189399853.57278,503719394.375461,106731539.490293,307817168.379855,233415916.676777,327224681.993507,115157951.45609,385464997.720672,418593904.365995,307085624.973914,403857020.133784,171526887.254579,813406895.664643,540107493.488981,380040876.744747,507199985.063064,207840813.91059,921033946.272304,524347350.515799,359687073.821163,501139031.642674,154001299.627884,8975225820.35889 
June,25.6648320642557,24.9834535203831,25.2758128384387,25.1870061701478,25.6234306630522,25.1263620548858,24.9830155349991,25.368731489977,25.2536236777777,25.7247857313185,25.1240368887429,24.803831784255,25.3114189032638,25.1676844089412,25.6539024995651,24.9757421888714,24.0134438149968,24.8358634050775,24.677317479465,25.138686408329,24.390566706021,24.3525828489842,24.5224997002102,24.2661027111081,24.205358444274,24.3793219494701,24.7000451628306,24.5965406599965,24.3454803207104,24.2970621771043,24.5073926429767,24.7147029381303,24.5434677697435,24.3146469967339,24.2665556345724,24.4783079642597,24.6487006604606,24.1504475522539,24.0679252724904,24.0126041868099,24.2110475533865,24.3258102250203,118503.434892038,38004.3942807621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80499.0406112762,0.0,119916.571877205,18686438540.7433,1181157696.91698,275783854.641521,590449374.386581,571431670.051792,713200716.707344,341015982.047922,765265785.936741,818929253.264377,772144956.978346,943871765.863057,488857795.276343,1457518749.87758,1039326898.51254,959317744.905273,1181522216.36836,600026749.111729,1991876170.60339,1113663439.93557,1016333559.51837,1272829995.04428,591914164.795224,20846010270.5407 
July,27.0286623803642,25.6700738445385,26.500202947066,26.3674992848847,26.6749250279847,26.0312305209691,25.610161945321,26.5669720213619,26.404222130763,26.7336750671027,26.0042948274419,25.4868286846372,26.5389330252391,26.3449521900981,26.6918702086816,25.9055211074542,24.9973950592986,26.2455279362711,26.0380095273689,26.3800283488846,25.566125104525,25.0491490653876,24.9359115261396,24.9399139166866,24.8920589332476,25.0029922873534,25.1408262238205,24.9754075764529,24.9729119841889,24.9393779810342,25.0550514834172,25.1419604906931,24.9673892596539,24.958738067841,24.9250374574478,25.0458043647509,25.1245217583586,24.7726223678239,24.8255441232908,24.7856168218707,24.9265482400645,25.0062488882825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26073633018.8233,1704870574.19258,382095388.394281,865142628.287851,814782209.97461,927870970.607874,519835881.747596,965694259.899305,1198326740.68024,1103434975.35289,1250599812.12674,723739124.599545,1791506674.68445,1518089971.45222,1372689877.79012,1565668925.55925,885528925.290182,2564559479.17419,1708087072.87316,1528789251.1691,1747541147.8652,934779127.101772,29492721296.2456 
August,27.0570637187056,25.6139289706872,26.6606744563586,26.1192097947712,26.5621927570009,26.2134662491762,25.551206022797,26.7343611777605,26.1537077714434,26.6229140585312,26.1842508852574,25.4019754435453,26.701819586736,26.0791844980395,26.5685328352633,26.0755673246159,24.7640738268307,26.3217247453937,25.6892981927899,26.1670980467399,25.6515174733158,24.9115480690272,24.8539971217155,24.8212658879753,24.6844700337713,24.8402570737019,25.1184838493818,24.8930727956103,24.8592306983773,24.741014937393,24.9075079674561,25.1204997935195,24.8755321012417,24.8400452543138,24.7219208568006,24.8915266874021,25.1048740311812,24.6198970204277,24.6858852874962,24.5509389813137,24.7296472325099,24.9773907624161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27793777385.5911,1863910364.66999,399710712.198698,1033365576.97332,801916345.277665,967603948.010638,611788266.712803,1009712755.96464,1414985602.51974,1083260987.72233,1294252224.14169,843946428.381118,1859144460.71224,1791523506.20565,1343009417.2746,1618007681.09826,1025961043.71369,2561328393.9123,1980026665.96135,1463349548.49041,1777716244.28782,1049257211.36212,30470025611.1515 
September,24.2112148424166,24.088143423229,24.4490911977826,23.5430349374207,23.8999558271985,24.5361778960834,24.1995087158181,24.5896427205044,23.6484856897307,24.0216305375762,24.6105015566891,24.051635305359,24.5484367709894,23.5688058315442,23.9528889732836,24.5005255678327,23.1603790401479,23.9810092539575,23.0057868058667,23.3746001289712,23.8483070425793,23.5066928433458,23.9175854764153,23.6314701078141,23.230971079229,23.4176663002243,24.2125840841593,24.1138733087428,23.757806033673,23.3811762962023,23.5770441107582,24.3051901762067,24.0914987847592,23.7385095952865,23.3586658812826,23.553930624022,24.2765678468384,23.5902067669909,23.4275056054817,23.0134949079729,23.2083907729208,23.9016401527294,117905047.279784,10082952.4814181,452980.566127288,3531956.26106658,7551681.57712833,6019235.53731328,281807.315905704,73508.2536853294,2369827.45313725,6319531.20453495,4717184.52609301,31793.3616448626,391675.346729218,2853100.09955996,7842597.07286623,6018227.70836257,204989.324903505,6925028.16196569,9395040.64551444,22462805.7963897,18500297.7081366,1878826.87730135,119408578.847606,13251550176.8876,798995251.361236,187404268.734689,553726906.14643,311366449.66488,386887282.395977,307687225.064158,575551058.707872,749640634.52954,425430208.779036,517526019.644287,440998034.568427,1139026130.91457,955839350.405193,531217962.464698,651375546.658139,537807356.284952,1474593147.20162,994201265.805256,542181206.209702,671878303.096163,498216568.250782,14756928809.5855 
October,20.8945934414854,21.9114737193344,21.841539619111,20.1984725277025,20.6470079982326,22.5168034803378,22.1988346972957,22.0470784382325,20.3166207054541,20.7650649426836,22.6473249059276,22.0240283317094,21.9820675460579,20.2228341537752,20.6673417306374,22.4712248339647,20.696790793441,21.1023569539312,19.473549059093,19.8688977944036,21.3945911986008,21.3093209518732,22.2506775447805,21.7940676515895,20.8532578874788,21.1433457390449,22.788348386454,22.6594969988242,21.9987235089113,21.0047945965518,21.2996434060544,22.9496215729853,22.6248537786543,21.9639336134903,20.9711520618134,21.2580507628675,22.8477292765656,21.7186323639428,21.4356384318197,20.5156427867397,20.769699494843,22.0129925933333,2564950623.25204,167474358.272923,24786949.7716233,56333917.2667784,137067363.930041,109487814.570938,18072273.7699177,28009154.2767176,55501397.909483,150974298.279807,120799651.495439,16708064.2147244,46627058.5410435,70916774.113136,189748411.60376,153996360.826376,23186042.5872406,235246595.218336,169912884.727364,382370207.293368,331588867.160842,76142177.4221829,2590826952.09443,4753385692.55722,246801340.749432,55083075.8531982,285387940.709091,71172700.5731263,102878378.316794,115763544.036652,249882225.061006,348273106.549025,94602385.3094761,129429098.838971,173781015.875149,554455348.873266,453137615.883783,119595235.127218,165955909.997465,209878328.240992,559686197.273296,415962878.910313,103333794.946667,148202802.332348,150122769.099953,5535499723.69993 
